Nr.;Nr. ordine;Nr. cliente;Ragione Sociale;Cod. valuta;Data scadenza;Importo;Importo IVA inclusa;Importo residuo;Spedire a - Codice;Spedire a - CAP;Data di registrazione;Cod. agente;Cdc Codice;Cod. colleg. dimen. 2;Cod. ubicazione;Copie stampate;Cod. condizioni pagam.;Chiuso;Annullato;Rettifica;E-mail inviata;Data/ora invio mail;Fatturare a - Indirizzo;Fatturare a - Città;Provincia di fatturazione;Spedire a - Indirizzo;Spedire a - Città;Cod. metodo di pagamento;Cat. reg. cliente;Fattore valuta;Partita IVA;C/C bancario;Importo residuo documento;Tipo di documento Fattura;Nota di Credito Collegata;Flg In Commessa;Nr. fornitore;Descrizione Fornitore;Fattura Acquisto Origine;Inviato allo SDI
FVI25-00065;;C00027;Fucino Finance S.P.A.;;;1.800,00;1.800,00;0,00;;00186;10/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00064;;C00004;Banca di Sconto S.p.A.;;;11.649,60;11.649,60;0,00;;00187;10/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00063;;C00019;Agos Ducato S.p.A.;;;1.307,70;1.307,70;0,00;;20126;08/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Fulvio Testi, 280;MILANO;MI;Viale Fulvio Testi, 280;MILANO;;CLI_IT;0,;08570720154;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00062;;C00035;Mediobanca  Premier Spa;;;208,80;208,80;0,00;;20100;06/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00061;;C00001;IBL Banca S.P.A.;;;2.364,48;2.364,48;0,00;;00187;06/03/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00060;;C00001;IBL Banca S.P.A.;;;1.224,00;1.224,00;0,00;;00187;06/03/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00059;;C00027;Fucino Finance S.P.A.;;;3.973,52;3.973,52;0,00;;00186;05/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00058;;C00055;MOROZAN VICTOR ;;;1.500,00;1.500,00;0,00;;40100;05/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA MONDO 21;BOLOGNA;BO;VIA MONDO 21;BOLOGNA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00057;;C00054;LOMBARDI RUGGERO GIUSEPPE;;;2.080,00;2.080,00;0,00;;70052;05/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA GIUSEPPE VERDI 10;BISCEGLIE;BA;VIA GIUSEPPE VERDI 10;BISCEGLIE;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00056;;C00053;GRILLO SALVATORE ANTONIO;;;1.962,00;1.962,00;1.962,00;;89842;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA MENOTTI 24;SAN CALOGERO;VV;VIA MENOTTI 24;SAN CALOGERO;;CLI_IT;0,;;;1.962,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00055;;C00052;DE PAOLA GIACOMO;;;1.260,00;1.260,00;0,00;;70025;05/03/2025;;;;;1;VISTA;VERO;FALSO;FALSO;FALSO;;VIA DALLA CHIESA 31/I;GRUMO APPULA;BA;VIA DALLA CHIESA 31/I;GRUMO APPULA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00054;;C00051;COZZOLINO GIORGIO;;;725,00;725,00;725,00;;80059;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA EVA PERON 10;TORRE DEL GRECO;NA;VIA EVA PERON 10;TORRE DEL GRECO;;CLI_IT;0,;;;725,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00053;;C00050;CONDELLO GIUSEPPE;;;1.950,00;1.950,00;1.950,00;;94015;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA GORIZIA 5;PIAZZA ARMERINA;EN;VIA GORIZIA 5;PIAZZA ARMERINA;;CLI_IT;0,;;;1.950,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00052;;C00049;CECI ANTONIO;;;1.440,00;1.440,00;1.440,00;;71100;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA SAN CASSANO 1;FOGGIA;FG;VIA SAN CASSANO 1;FOGGIA;;CLI_IT;0,;;;1.440,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00051;;C00048;CAMPAGNUOLO CONCETTINA;;;750,00;750,00;750,00;;00040;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA CILE 13;POMEZIA;RM;VIA CILE 13;POMEZIA;;CLI_IT;0,;;;750,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00050;;C00047;LOMONTE FRANCO;;;550,00;550,00;550,00;;76123;05/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;VIA LUSSEMBURGO NR.29;ANDRIA;BT;VIA LUSSEMBURGO NR.29;ANDRIA;;CLI_IT;0,;;;550,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00049;;C00027;Fucino Finance S.P.A.;;;2.462,35;2.462,35;0,00;;00186;03/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00047;;C00020;COMPASS Banca S.p.A.;;;1.360,40;1.360,40;1.360,40;;20153;03/03/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Caldera, 21;MILANO;MI;Via Caldera, 21;MILANO;;CLI_IT;0,;10536040966;;1.360,40;TD01;FALSO;FALSO;;;;FALSO
FVI25-00046;;C00001;IBL Banca S.P.A.;;;3.197,90;3.197,90;0,00;;00187;03/03/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00045;;C00004;Banca di Sconto S.p.A.;;;10.245,96;10.245,96;0,00;;00187;03/03/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00044;;C00004;Banca di Sconto S.p.A.;;;10.522,32;10.522,32;0,00;;00187;27/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00043;;C00024;Banca Nazionale del Lavoro S.p.A.;;;1.350,00;1.350,00;0,00;;00157;27/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Altiero Spinelli, 30;ROMA;RM;Via Altiero Spinelli, 30;ROMA;;CLI_IT;0,;09339391006;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00042;;C00026;Switcho S.r.l.;;;330,00;330,00;330,00;;20145;27/02/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Lorenzo Mascheroni, 15;MILANO;MI;Via Lorenzo Mascheroni, 15;MILANO;;CLI_IT;0,;10740070965;;330,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00041;;C00001;IBL Banca S.P.A.;;;2.442,00;2.442,00;0,00;;00187;26/02/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00040;;C00021;Iside Broker Insurance S.R.L.;;;552,23;552,23;0,00;;22063;26/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Asiago, 27;CANTU';CO;Via Asiago, 27;CANTU';;CLI_IT;0,;03361320132;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00039;;C00030;Fincontinuo S.p.A.;;;1.890,00;1.890,00;0,00;;00192;26/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Alessandro Farnese, 4;ROMA;RM;Via Alessandro Farnese, 4;ROMA;;CLI_IT;0,;02597720792;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00038;;C00030;Fincontinuo S.p.A.;;;2.310,00;2.310,00;0,00;;00192;26/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Alessandro Farnese, 4;ROMA;RM;Via Alessandro Farnese, 4;ROMA;;CLI_IT;0,;02597720792;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00037;;C00027;Fucino Finance S.P.A.;;;2.462,35;2.462,35;2.462,35;;00186;26/02/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;2.462,35;TD01;FALSO;FALSO;;;;FALSO
FVI25-00036;;C00024;Banca Nazionale del Lavoro S.p.A.;;;2.640,00;2.640,00;0,00;;00157;26/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Altiero Spinelli, 30;ROMA;RM;Via Altiero Spinelli, 30;ROMA;;CLI_IT;0,;09339391006;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00035;;C00024;Banca Nazionale del Lavoro S.p.A.;;;528,00;528,00;0,00;;00157;26/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Altiero Spinelli, 30;ROMA;RM;Via Altiero Spinelli, 30;ROMA;;CLI_IT;0,;09339391006;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00033;;C00019;Agos Ducato S.p.A.;;;1.586,00;1.586,00;0,00;;20126;20/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Fulvio Testi, 280;MILANO;MI;Viale Fulvio Testi, 280;MILANO;;CLI_IT;0,;08570720154;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00032;;C00044;PERMICRO  S.P.A ;;;200,00;200,00;0,00;;10121;20/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via XX Settembre nr.38;TORINO;TO;Via XX Settembre nr.38;TORINO;;CLI_IT;0,;09645130015;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00031;;C00004;Banca di Sconto S.p.A.;;;6.237,60;6.237,60;6.237,60;;00187;20/02/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;6.237,60;TD01;FALSO;FALSO;;;;FALSO
FVI25-00030;;C00004;Banca di Sconto S.p.A.;;;1.382,40;1.382,40;0,00;;00187;20/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00029;;C00004;Banca di Sconto S.p.A.;;;6.237,60;6.237,60;0,00;;00187;13/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00028;;C00035;Mediobanca  Premier Spa;;;2.372,00;2.372,00;0,00;;20100;06/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00027;;C00027;Fucino Finance S.P.A.;;;3.842,00;3.842,00;0,00;;00186;06/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00026;;C00001;IBL Banca S.P.A.;;;5.880,04;5.880,04;0,00;;00187;05/02/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00025;;C00001;IBL Banca S.P.A.;;;1.882,37;1.882,37;0,00;;00187;05/02/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00024;;C00004;Banca di Sconto S.p.A.;;;9.552,60;9.552,60;0,00;;00187;05/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00023;;C00004;Banca di Sconto S.p.A.;;;564,96;564,96;0,00;;00187;05/02/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00022;;C00027;Fucino Finance S.P.A.;;;3.708,00;3.708,00;0,00;;00186;30/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00021;;C00001;IBL Banca S.P.A.;;;7.505,40;7.505,40;0,00;;00187;29/01/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00020;;C00004;Banca di Sconto S.p.A.;;;7.417,80;7.417,80;0,00;;00187;23/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00019;;C00001;IBL Banca S.P.A.;;;1.499,71;1.499,71;0,00;;00187;23/01/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00018;;C00001;IBL Banca S.P.A.;;;2.634,00;2.634,00;0,00;;00187;21/01/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00017;;C00026;Switcho S.r.l.;;;130,00;130,00;0,00;;20145;20/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Lorenzo Mascheroni, 15;MILANO;MI;Via Lorenzo Mascheroni, 15;MILANO;;CLI_IT;0,;10740070965;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00016;;C00019;Agos Ducato S.p.A.;;;2.360,80;2.360,80;0,00;;20126;20/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Fulvio Testi, 280;MILANO;MI;Viale Fulvio Testi, 280;MILANO;;CLI_IT;0,;08570720154;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00014;;C00001;IBL Banca S.P.A.;;;1.848,60;1.848,60;0,00;;00187;16/01/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00013;;C00004;Banca di Sconto S.p.A.;;;5.034,24;5.034,24;0,00;;00187;16/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00012;;C00019;Agos Ducato S.p.A.;;;3.448,00;3.448,00;3.448,00;;20126;13/01/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;;Viale Fulvio Testi, 280;MILANO;MI;Viale Fulvio Testi, 280;MILANO;;CLI_IT;0,;08570720154;;3.448,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00011;;C00001;IBL Banca S.P.A.;;;1.003,36;1.003,36;0,00;;00187;11/01/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00010;;C00041;DIMICHINO ANGELO;;;1.600,00;1.600,00;0,00;;75020;10/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA LUIGI EINAUDI NR.74;SCANZANO JONICO;;VIA LUIGI EINAUDI NR.74;SCANZANO JONICO;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00009;;C00043;LABELLA VALENTINA;;;1.500,00;1.500,00;0,00;;75020;10/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA LUIGI EINAUDI NR. 64;SCANZANO JONICO;;VIA LUIGI EINAUDI NR. 64;SCANZANO JONICO;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00008;;C00020;COMPASS Banca S.p.A.;;;180,40;180,40;0,00;;20153;08/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Caldera, 21;MILANO;MI;Via Caldera, 21;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00007;;C00035;Mediobanca  Premier Spa;;;554,37;554,37;0,00;;20100;08/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00006;;C00035;Mediobanca  Premier Spa;;;1.664,00;1.664,00;0,00;;20100;08/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00005;;C00027;Fucino Finance S.P.A.;;;7.535,00;7.535,00;0,00;;00186;08/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00004;;C00001;IBL Banca S.P.A.;;;4.019,76;4.019,76;0,00;;00187;07/01/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00003;;C00024;Banca Nazionale del Lavoro S.p.A.;;;321,60;321,60;0,00;;00157;02/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Altiero Spinelli, 30;ROMA;RM;Via Altiero Spinelli, 30;ROMA;;CLI_IT;0,;09339391006;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00002;;C00024;Banca Nazionale del Lavoro S.p.A.;;;1.608,00;1.608,00;0,00;;00157;02/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Altiero Spinelli, 30;ROMA;RM;Via Altiero Spinelli, 30;ROMA;;CLI_IT;0,;09339391006;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00001;;C00004;Banca di Sconto S.p.A.;;;14.671,08;14.671,08;0,00;;00187;02/01/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
